prec1_train,prec1_val,prec5_train,prec5_val,loss_train,loss_val
85.81400,84.91000,99.49600,99.29000,0.49312327141284945,0.5452074883460999
86.04200,79.80000,99.50200,98.64000,0.48386163482666017,0.7442807348251342
85.85800,80.97000,99.49600,99.11000,0.48818643297195435,0.6878904259204864
86.12800,81.43000,99.46200,98.87000,0.4845379839134216,0.6943366774559021
86.20200,81.87000,99.46000,99.18000,0.4800700723838806,0.6578416335105896
86.35000,82.52000,99.52000,99.18000,0.4794977467441559,0.623648924446106
86.34600,79.87000,99.51600,98.99000,0.4781019800758362,0.7356282218933106
86.59400,83.36000,99.47200,99.15000,0.473446314868927,0.6108373114585877
86.50600,80.41000,99.49600,98.92000,0.4720244594764709,0.7233359794616699
86.44600,82.27000,99.53000,99.07000,0.46990057456970213,0.6346688293457031
86.82200,83.11000,99.53600,99.39000,0.46416492433547973,0.6083772790908814
86.43000,84.64000,99.55200,99.41000,0.472801921710968,0.5530657864570617
86.57400,81.37000,99.54400,98.76000,0.46685194522857665,0.7193975604057312
86.94800,81.17000,99.54800,99.24000,0.46205850765228274,0.6772995125770569
86.89800,80.73000,99.48800,99.15000,0.463222370262146,0.721278952217102
86.73400,80.18000,99.55000,98.69000,0.46812431024551393,0.6977495924949646
87.06800,82.95000,99.58800,99.17000,0.457078774394989,0.6288480393409729
86.86200,85.27000,99.56600,99.45000,0.45833066371917724,0.5457426884651184
87.24800,81.91000,99.57200,99.08000,0.4580039391517639,0.644456259393692
87.14600,82.73000,99.58400,99.24000,0.4549789858818054,0.621992929148674
87.11000,83.15000,99.58000,99.14000,0.4536671045398712,0.6212825007438659
87.33400,81.58000,99.57800,99.20000,0.4484332673549652,0.6466472107887268
87.26800,84.61000,99.60000,99.43000,0.4512750683021545,0.5756751057624817
87.32200,82.69000,99.55400,99.44000,0.44825348068237303,0.6371185668945313
87.46800,84.11000,99.59400,99.25000,0.4464940860748291,0.5872923828601837
87.39400,83.53000,99.56200,99.06000,0.44910710510253904,0.6306056212425232
87.53200,84.25000,99.62000,99.22000,0.4401537692451477,0.5845685724258423
87.34800,84.75000,99.59600,99.25000,0.44605493098258975,0.5638624314308166
87.42800,83.39000,99.56600,99.20000,0.4459069443702698,0.6210208457946778
87.68800,82.98000,99.65000,99.28000,0.43905016506195066,0.5982213678359986
87.55600,83.59000,99.59200,99.22000,0.43895088061332704,0.580087310218811
87.67200,83.69000,99.57400,98.92000,0.4386590815734863,0.6253929942131042
87.58000,82.58000,99.59400,99.16000,0.43972943679809573,0.6210320791721344
87.61600,82.29000,99.63800,99.22000,0.43930787527084353,0.6472692226409912
87.75400,80.99000,99.60400,98.99000,0.4348625116062164,0.7334148836135864
87.71600,84.78000,99.66200,99.39000,0.4359305410766602,0.5835077299118042
87.73200,83.02000,99.65600,99.07000,0.43926124023914337,0.6262063962459564
